timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3026,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3028,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3030,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3032,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3034,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3036,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3038,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3040,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3042,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3044,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3046,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3048,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3050,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3052,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3054,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3056,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3058,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3060,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3062,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3064,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3066,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3068,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3070,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3072,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3074,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3076,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3078,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3080,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3082,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3084,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3086,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3088,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3090,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3092,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3094,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3096,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3098,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3100,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3102,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3104,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3106,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3108,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3110,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3112,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3114,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3116,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3118,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3120,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3122,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3124,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3126,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3128,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3130,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3132,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3134,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3136,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3138,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3140,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3142,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3144,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3146,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3148,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3150,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3152,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3154,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3156,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3158,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3160,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3162,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3164,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3166,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3168,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3170,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
